,pc1,pc2,pc3,target,class
100,-0.045575171350174554,-0.011049478033604706,-0.049178016957270795,2,csproj
101,-0.04562765817493838,-0.011068403182366586,-0.049302969679083715,2,csproj
102,-0.04567007821919238,-0.01108357102624209,-0.049401872323829775,2,csproj
103,-0.04600636960582639,-0.011205050079953024,-0.0502066548990273,2,csproj
104,-0.049101518510170854,-0.012431673892365776,-0.05966104138711283,2,csproj
105,-0.05078791281813268,-0.013073687161238422,-0.06428804321698361,2,csproj
106,-0.04550048432881138,-0.011022655199393355,-0.04900196366884892,2,csproj
107,-0.04718345143973034,-0.011665749676170267,-0.053683991835770536,2,csproj
108,-0.045973744024949754,-0.011193422731833566,-0.05013099676519064,2,csproj
109,-0.04574238273806825,-0.01110973381792302,-0.049575550765254335,2,csproj
110,-0.04566109504156639,-0.011080583495760757,-0.04938458855622705,2,csproj
111,-0.05216929422578013,-0.013590941416314364,-0.06791510888241037,2,csproj
112,-0.14368348465915332,0.972172880587794,0.10009580925730178,2,csproj
113,-0.053188583917808646,-0.014049209210882574,-0.07209054522688645,2,csproj
114,-0.047093350931686685,-0.011640496895418672,-0.05361243508144995,2,csproj
115,-0.04570680318526451,-0.011096949460552622,-0.04949162260872532,2,csproj
116,-0.055134720123825864,-0.014794668178474845,-0.07753321857825868,2,csproj
117,-0.04549640600445246,-0.011021183421374172,-0.048992234454334045,2,csproj
118,-0.04593151830321134,-0.011189178659667842,-0.05023623005232384,2,csproj
119,-0.04561782450582428,-0.01106609239728846,-0.04930271969716156,2,csproj
120,-0.050970950446710434,-0.013116382777205256,-0.0642350291953322,2,csproj
121,-0.04750469243237207,-0.011797357667723057,-0.05475158824071837,2,csproj
122,-0.04549623927738534,-0.011021123377436113,-0.048991838486440516,2,csproj
123,-0.04570708951514772,-0.011101974528544455,-0.0495849130410115,2,csproj
124,-0.04633817697383808,-0.011340785034720349,-0.0512959737547032,2,csproj
125,-0.048222832417101597,-0.012080976010281758,-0.05692986339839609,2,csproj
126,-0.051615397909592214,-0.013356257403732063,-0.06590290383799739,2,csproj
127,-0.04549639984975426,-0.011021180971913321,-0.04899221566458651,2,csproj
128,-0.045509896937240606,-0.011026077037682394,-0.049024930599875775,2,csproj
129,-0.04662498887432214,-0.011450056078677625,-0.052091401071898226,2,csproj
130,-0.04550317357200158,-0.011023616799219236,-0.04900823496803941,2,csproj
131,-0.045959096756973565,-0.011188025991311173,-0.05009449904290857,2,csproj
132,-0.04555499654583553,-0.011042255204661601,-0.04913083849993276,2,csproj
133,-0.04725943522133642,-0.011692373350809493,-0.05385127410007824,2,csproj
134,-0.04557099094493875,-0.011051839221533839,-0.04915000099030727,2,csproj
135,-0.046472495156394844,-0.011385979736692363,-0.05155702112721501,2,csproj
136,-0.04567211760923366,-0.011084450843139896,-0.04940912483297051,2,csproj
